_id,FISCAL_YEAR,CAR_CHC_ID,REFERENCE_NUMBER,SELECTION_PROCESS_NUMBER,CREATION_DATE,OPEN_DATE,CLOSE_DATE,DAYS_TO_OPEN,NUMBER_DAYS_OPEN,INTERNAL_INDICATOR,EXTERNAL_INDICATOR,POSITION_TITLE_E,POSITION_TITLE_F,CLASSIFICATIONS,CLASSIFICATION_COUNT,PSC_ADMIN,NATIONAL,EE_ORGANIZ_GENDER,EE_ORGANIZ_VISMIN,SCRNG_TOOL_OFFICIAL_LANGUAGE,SCRNG_TOOL_SCREENING_QUESTIONS,SCRNG_TOOL_TEXT_QUESTIONS,SCRNG_TOOL_EXP_QUESTIONNAIRE,SCRNG_TOOL_UIT,SCRNG_TOOL_EDUCATION,INDETERMINATE,SPECIFIED_TERM,ACTING,ASSIGNMENT,DEPLOYMENT,SECONDMENT,VARIOUS_WORK_LOCATION,PROV_CNT,CAF_SUBMITTED,CAF_IN,CAF_OUT,NOC,NAPA,NAA,administrator_region_e,administrator_region_f,advertisement_type_e,advertisement_type_f,city_count,city_name_e,city_name_f,organization_e,organization_f,organization_code,advertisement_url_e,advertisement_url_f,recruitment_program_e,recruitment_program_f,province_name_e,province_name_f,psea_e,psea_f,source_system_e,source_system_f,status_e,status_f,ee_criterion_gender,ee_criterion_indigenous,ee_criterion_vismin,ee_criterion_pwd,ee_organiz_pwd,ee_organiz_indigenous,TOTAL_SUBMITTED_SUP,TOTAL_IN_SUP,TOTAL_OUT_SUP,SCRNG_TOOL_OCC_CERT,women_submitted_SUP,vismin_submitted_SUP,indigenous_submitted_SUP,pwd_submitted_SUP,french_submitted_SUP,english_submitted_SUP,citizen_submitted_SUP,permanent_resident_submitted_SUP,ee_submitted_SUP
1012,2023-2024,1973425,RSN23J-013750-000433,2023-RSN-IA-LMS-580723,19APR2023,19APR2023,24APR2023,0,5,1,0,Manager of Finance and Administration,Gestionnaire de finance et administration,AS05,1,0, ,0,0,1,1, , , , ,1, , , , , ,0,1,1,1,0, , , ,Ontario,Ontario,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Natural Resources Canada,Ressources naturelles Canada,RSN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973425&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973425&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,9,8,*, ,5,*,*,*,*,*,9,*,6
1013,2023-2024,1973440,CSD23J-023412-000023,2023-CSD-IA-NHQ-0040838,19APR2023,25APR2023,15MAY2023,5,20,1,0,PE-04 Opportunities within the Executive Group Services and Talent Management Division!,Opportunités PE-04 - Division des services au groupe de la direction et gestion des talents!,PE04,1,0, ,0,0,1,1,1, , , ,1,1,1,1,1, ,1,7,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,8,MULTIPLE,MULTIPLE,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973440&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973440&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,44,37,7, ,31,15,*,*,29,15,42,*,37
1014,2023-2024,1973607,SVC23J-122395-000002,2023-SVC-ONT-EA-580929,19APR2023,21APR2023,07MAY2023,1,16,0,1,Senior Environmental Specialist,Spécialiste principal(e) de lenvironnement,PC03,1,0,1,1,1,1,1, , , , ,1, , , , , ,0,1,0,0,0, , , ,Ontario,Ontario,Regular Advertisement,Affiche regulier,1,Toronto,Toronto,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973607&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973607&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,30,22,8, ,14,13,*,*,*,*,18,*,22
1015,2023-2024,1973650,ATN23J-123200-000016,23-ATN-DRB-IA-ML-155,19APR2023,05MAY2023,23MAY2023,15,18,1,0,Resolution Officer,Agent(e) de résolution,PM05,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,0,1,2,2,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Gatineau,Gatineau,Canadian Transportation Agency,Office des transports du Canada,ATN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973650&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973650&toggleLanguage=fr,INT,INT,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,392,350,42, ,207,174,13,39,145,247,380,*,315
1016,2023-2024,1973656,PPD23J-031788-000011,2023-PPD-EA-NT-144490,19APR2023,21APR2023,08MAY2023,1,17,0,1,Crown Witness Coordinator,Coordonnateur ou coordonnatrice témoin de la Couronne,PM03,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Yellowknife,Yellowknife,Public Prosecution Service of Canada,Service des poursuites penales du Canada,PPD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973656&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973656&toggleLanguage=fr,JOP,POP,Northwest Territories,Territoires du Nord-Ouest,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,71,70,*, ,34,29,9,6,9,62,55,*,57
1017,2023-2024,1973686,RCM23J-021964-000357,23-RCM-EA-P-E-PG-SIOP-EDCAS-117083,19APR2023,20APR2023,11MAY2023,0,21,0,1,Intelligence Analyst,Analyste en renseignement,EC05,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,British Columbia and Yukon,Colombie-Britannique et Yukon,Regular Advertisement,Affiche regulier,1,Prince George,Prince George,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973686&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973686&toggleLanguage=fr,JOP,POP,British Columbia,Colombie-Britannique,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,78,36,42, ,31,28,*,6,5,73,63,*,55
1018,2023-2024,1973795,RCM23J-021601-000193,23-RCM-IA-N-N-NCR-FPIIP-117071,20APR2023,21APR2023,16MAY2023,0,25,1,0,"Intelligence Analyst, Intermediate Level","Analyste en renseignement, niveau intermédiaire",EC04,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,0,1,8,7,1, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973795&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973795&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,241,220,21, ,140,78,*,22,70,171,232,*,183
1019,2023-2024,1973845,PEN23J-109296-000006,2023-PEN-EA-ONT-180951,20APR2023,30JUN2023,17JUL2023,70,17,0,1,Parole Officer,Agent(e) de libération conditionnelle,WP04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1,0, ,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Gravenhurst,Gravenhurst,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973845&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973845&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
1020,2023-2024,1973851,ATN23J-123200-000017,23-ATN-DRB-EA-ML-143,20APR2023,05MAY2023,23MAY2023,14,18,0,1,Resolution Officer,Agent(e) de résolution,PM05,1,0,1,0,0,1,1, , ,1, ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Gatineau,Gatineau,Canadian Transportation Agency,Office des transports du Canada,ATN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973851&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973851&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,248,53,195, ,120,123,5,21,87,161,184,*,195
1021,2023-2024,1973861,PEN23J-109296-000007,2023-PEN-EA-ONT-180952,20APR2023,30JUN2023,11JUL2023,70,11,0,1,Parole Officer,Agent(e) de libération conditionnelle,WP04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1, , , , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Kingston,Kingston,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973861&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973861&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
1022,2023-2024,1973867,PEN23J-109296-000008,2023-PEN-EA-ONT-180953,20APR2023,30JUN2023,11JUL2023,70,11,0,1,Parole Officer,Agent(e) de libération conditionnelle,WP04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,1,0,0, , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,2,MULTIPLE,MULTIPLE,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973867&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973867&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
1023,2023-2024,1973870,PEN23J-109296-000009,2023-PEN-EA-ONT-180954,20APR2023,30JUN2023,17JUL2023,70,17,0,1,Parole Officer,Agent(e) de libération conditionnelle,WP04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Sudbury,Sudbury,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973870&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973870&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
1024,2023-2024,1973872,PEN23J-109296-000010,2023-PEN-EA-ONT-180955,20APR2023,30JUN2023,11JUL2023,70,11,0,1,Parole Officer,Agent(e) de libération conditionnelle,WP04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,6,MULTIPLE,MULTIPLE,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973872&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973872&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,7,*,*, ,*,*,*,*,*,*,6,*,5
1025,2023-2024,1973876,PEN23J-109296-000011,2023-PEN-EA-ONT-180956,20APR2023,30JUN2023,17JUL2023,70,17,0,1,Parole Officer,Agent(e) de libération conditionnelle,WP04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,1, , , , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,2,MULTIPLE,MULTIPLE,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973876&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973876&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
1026,2023-2024,1973879,PEN23J-023181-000091,2023-PEN-EA-PRA-180960,20APR2023,21APR2023,30DEC2023,0,253,0,1,Cleaning Services Officer,Agent ou agente des services de nettoyage,GSBUS04,1,0,0,0,0,1, , , , , , ,1, , , , ,0,1,0,0,0, , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Inventory Advertisement,Affiche de repertoire,1,Edmonton,Edmonton,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973879&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973879&toggleLanguage=fr,JOP,POP,Alberta,Alberta,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,74,46,28, ,31,18,*,*,15,59,26,*,41
1027,2023-2024,1973882,PEN23J-109296-000012,2023-PEN-EA-ONT-180957,20APR2023,30JUN2023,17JUL2023,70,17,0,1,Parole Officer,Agent(e) de libération conditionnelle,WP04,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Windsor,Windsor,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973882&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973882&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,7,*,*, ,*,*,*,*,*,*,7,*,5
1028,2023-2024,1973889,RSN23J-013750-000434,2023-RSN-EA-LMS-580895,20APR2023,09MAY2023,23MAY2023,18,14,0,1,"Science Projects Officer, Junior Research Engineer, Research Engineer","Agente de projets scientifiques, Ingénieur(e) de recherche junior, Ingénieur(e) de recherche","ENENG02,ENENG03,PC02,PC03",4,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Ontario,Ontario,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Natural Resources Canada,Ressources naturelles Canada,RSN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973889&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973889&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,196,195,*, ,56,105,*,9,29,167,127,*,138
1029,2023-2024,1973905,DOE23J-018912-000154,23-DOE-NCR-EA-578378,20APR2023,25APR2023,08MAY2023,4,13,0,1,Senior Data Analyst,Analyste principal(e) des données,EC05,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,7,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,11,MULTIPLE,MULTIPLE,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973905&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973905&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,124,76,48, ,46,49,*,5,54,70,74,*,84
1030,2023-2024,1973925,FNA23J-021107-000074,2023-FNA-HRB-IA-017,20APR2023,27APR2023,11MAY2023,6,14,1,0,Human Resources Services Coordinator,Coordonnateur ou coordonnatrice des services en ressources humaines,"AS03,AS04,RE03",3,0, ,0,1,1,1, , , , ,1, , ,1, , ,0,1,1,1,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Financial Consumer Agency of Canada,Agence de la consommation en matiere financiere du Canada,FNA,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973925&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973925&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,75,58,17, ,64,23,*,*,53,22,73,*,68
1031,2023-2024,1973977,PEN23J-023690-000044,2023-PEN-IA-NAT-180969,20APR2023,05MAY2023,02JUN2023,14,28,1,0,"MANAGER, ORGANIZATIONAL DESIGN AND CLASSIFICATION CENTRE OF EXPERTISE","GESTIONNAIRE, CENTRE DEXPERTISE EN DESIGN ORGANISATIONNEL ET CLASSIFICATION",PE05,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,1,5,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,6,MULTIPLE,MULTIPLE,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973977&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973977&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,8,*,*, ,5,*,*,*,*,*,8,*,7
1032,2023-2024,1973988,DUS23J-023548-000212,23-DUS-NCR-IA-CSB1,20APR2023,10MAY2023,24MAY2023,19,14,1,0,IT Analyst/Software solution,Analyste informatique/solution logicielle,IT02,1,0, ,1,1,1,1, , , , , , ,1,1,1, ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Gatineau,Gatineau,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Developpement economique Canada",DUS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973988&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1973988&toggleLanguage=fr,INT,INT,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,12,6,6, ,*,5,*,*,6,6,10,*,6
1033,2023-2024,1974169,STC23J-027283-000025,23-STC-EA-NWT-SSO,20APR2023,02MAY2023,31DEC2023,11,243,0,1,Interviewer,Intervieweur,ININT01,1,0,1,1,1,1,1, , , , , ,1, , , , ,1,3,0,0, , , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,68,MULTIPLE,MULTIPLE,Statistics Canada,Statistique Canada,STC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974169&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974169&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,37,37,*, ,20,12,*,6,7,30,23,*,29
1034,2023-2024,1974184,SHC23J-089595-000019,23-NHW-CSB-EA-NCR-354672,20APR2023,10MAY2023,30MAY2023,19,20,0,1,Senior Maintenance Management Specialist,Spécialiste principal en gestion de l'entretien,EG06,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Health Canada,Sante Canada,SHC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974184&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974184&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,14,10,*, ,*,*,*,*,*,*,9,*,7
1035,2023-2024,1974259,BSF23J-107002-000005,2023-IA-HRB-PE_03-933,21APR2023,23MAY2023,05JUN2023,31,13,1,0,Human Resources Specialist Advisor (PE-03),Conseiller(ère) spécialiste en ressources humaines (PE-03),PE03,1,0, ,0,1,1,1, , , , ,1, , ,1, , ,1,5,2,2,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,6,MULTIPLE,MULTIPLE,Canada Border Services Agency,Agence des services frontaliers du Canada,BSF,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974259&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974259&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,39,38,*, ,27,22,*,5,8,31,35,*,36
1036,2023-2024,1974334,MOT23J-018686-000184,23-MOT-EA-HRS-04718,21APR2023,27APR2023,30APR2024,5,369,0,1,"Civil Aviation Safety Inspector, Airworthiness and Aiworthiness (Manufacturing)","Inspecteur/trice de la sécurité de l'aviation civile, Navigabilité et Navigabilité (Construction)",TI06,1,0,1,0,0,1,1, , , , ,1, , , , , ,1,1,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Transport Canada,Transports Canada,MOT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974334&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974334&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,21,14,7, ,*,6,*,*,12,9,18,*,8
1037,2023-2024,1974357,PEN23J-023617-000244,2023-PEN-EA-PRA-180984,21APR2023,24APR2023,23MAY2023,2,29,1,0,"Chief, Health Services","Chef, Services de santé",NUHOS05,1,0, ,1,1,1,1, , , , ,1,1,1,1,1, ,1,3,3,3,0, , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Regular Advertisement,Affiche regulier,11,MULTIPLE,MULTIPLE,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974357&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974357&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,24,21,*, ,17,5,*,*,*,*,24,*,21
1038,2023-2024,1974399,PEN23J-072395-000176,2023-PEN-IA-NHQ-181958,21APR2023,02JUN2023,16JUN2023,41,14,1,0,"Director, Management Services and Investment Planning","Directeur ou directrice, Services de gestion et planification des investissements",EX01,1,0, ,0,0,1, , , , , ,1, ,1,1,1, ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Correctional Service Canada,Service correctionnel Canada,PEN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974399&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974399&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,23,23,*, ,11,10,*,*,14,9,22,*,17
1039,2023-2024,1974456,IRB23J-102798-000003,23-IRB-IA-AO-00-160023,21APR2023,28APR2023,14MAY2023,6,16,1,0,Team Leader,Chef déquipe,PG05,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,0,1,0,0,0, , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de refugie du Canada,IRB,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974456&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974456&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,24,16,8, ,6,13,*,*,5,19,22,*,17
1040,2023-2024,1974462,RCM23J-018057-000082,23-RCM-IA-N-N-NCR-DGHQ/CDR-117255,21APR2023,28APR2023,29MAY2023,6,31,1,0,PE/01PE-02/PE-03 Staffing Advisors,Conseiller/ère en dotation PE01/PE-02/PE-03,"PE01,PE02,PE03",3,0, ,0,0,1,1, , , , , , , ,1, , ,0,1,1,1,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974462&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974462&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,83,80,*, ,55,34,5,10,27,56,79,*,72
1041,2023-2024,1974477,EXT23J-123697-000030,22-EXT-EA-OM-1037757,21APR2023,08MAY2023,22MAY2023,16,14,0,1,Join the growing Finance team at Global Affairs Canada  Financial Management Advisor,Joignez-vous à léquipe des finances dAffaires mondiales Canada - Conseiller/ère gestion financière,"FI02,FI03",2,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Gatineau,Gatineau,Global Affairs Canada,Affaires mondiales Canada,EXT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974477&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1974477&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,249,230,19, ,104,139,*,7,146,103,179,*,187
